日期,中壢,湖口,泰安,西螺,新營,仁德,關西,西湖,清水,南投,古坑,東山,關廟,石碇,蘇澳
2023/1/1,"433,216","1,152,276","1,749,527","2,021,691","1,210,852","896,879","2,651,835","1,703,575","3,267,701","1,429,918","1,016,249","1,857,187","416,086","442,051","850,205"
2023/1/2,"352,279","927,699","1,967,970","2,141,105","1,093,783","864,998","2,553,538","1,674,051","3,743,355","1,424,314","809,576","1,744,825","608,972","491,908","921,588"
2023/1/3,"280,454","426,526","1,085,134","876,077","537,996","558,509","1,013,961","643,324","1,224,513","576,348","258,671","697,858","354,443","248,457","347,574"
2023/1/4,"305,607","480,864","904,609","776,729","471,795","532,914","864,145","604,096","928,766","453,545","207,655","490,711","182,471","221,492","305,761"
2023/1/5,"311,576","430,331","852,844","806,957","488,456","445,483","877,252","532,904","995,465","469,029","211,453","503,295","159,489","224,392","310,305"
2023/1/6,"319,383","558,001","949,245","1,016,679","644,688","515,591","1,084,412","651,295","1,348,224","477,011","283,650","765,399","188,648","265,501","367,140"
2023/1/7,"321,778","633,722","1,182,350","1,259,181","692,647","604,983","1,350,385","845,648","1,848,406","699,495","394,214","1,049,898","232,081","293,937","489,290"
2023/1/8,"369,295","768,471","1,247,531","1,486,177","777,114","677,163","1,704,298","978,105","2,135,467","893,993","479,540","1,380,025","303,528","285,526","478,710"
2023/1/9,"282,061","514,132","935,361","899,978","542,928","508,558","1,017,269","748,861","1,434,504","541,161","252,480","713,977","286,466","264,057","412,067"
2023/1/10,"287,945","490,243","958,479","871,382","558,696","479,718","1,022,357","568,888","1,122,586","502,413","228,262","609,421","187,519","235,856","380,045"
2023/1/11,"288,002","522,826","964,251","911,248","569,154","522,273","1,020,051","602,336","1,253,292","499,938","262,077","670,227","190,571","257,342","359,460"
2023/1/12,"310,363","504,297","940,457","932,871","620,196","529,143","1,073,382","644,835","1,245,895","555,769","238,357","684,042","199,866","245,102","212,595"
2023/1/13,"333,811","627,299","1,119,055","1,203,018","762,934","576,137","1,330,262","886,201","1,714,112","702,467","347,229","860,193","273,808","233,320","187,604"
2023/1/14,"401,570","896,762","1,695,409","1,780,710","928,282","824,846","1,909,810","1,369,255","2,669,288","1,092,677","590,783","1,611,110","421,501","313,113","248,083"
2023/1/15,"378,241","723,419","1,513,128","1,591,339","889,265","773,910","1,907,101","1,180,298","2,763,773","1,021,931","544,823","1,521,465","355,947","272,742","262,762"
2023/1/16,"329,508","619,110","1,144,021","1,160,846","633,814","637,718","1,333,515","826,950","1,615,194","611,745","293,331","886,674","347,472","335,432","300,191"
2023/1/17,"336,892","490,897","1,054,544","1,096,169","655,119","632,161","1,178,491","732,036","1,459,216","661,690","268,473","821,073","242,564","345,755","357,147"
2023/1/18,"427,376","592,985","1,394,230","1,289,578","738,516","936,912","1,395,623","933,758","1,789,640","705,755","359,372","776,495","320,598","441,362","418,433"
2023/1/19,"357,423","797,859","1,594,541","1,664,120","878,822","698,691","1,712,946","1,364,879","2,898,576","1,085,430","521,680","1,008,344","286,404","292,853","820,109"
2023/1/20,"395,062","1,062,295","2,593,158","2,508,773","1,295,478","807,332","2,427,455","1,978,799","4,675,645","1,898,774","1,045,081","1,902,318","469,166","293,912","1,014,314"
2023/1/21,"303,433","1,041,415","2,405,346","2,198,068","1,075,328","770,715","2,083,949","1,655,196","3,772,710","1,536,857","855,491","1,772,241","500,599","261,043","822,928"
2023/1/22,"567,521","1,933,888","3,486,829","3,429,342","2,007,442","1,404,363","3,964,874","3,152,294","6,334,063","2,830,920","1,738,061","3,500,690","1,078,981","537,787","1,616,296"
2023/1/23,"525,869","2,110,387","3,958,124","3,400,393","2,098,825","1,591,508","4,245,978","3,253,898","6,772,315","2,981,463","1,831,509","3,793,734","1,369,636","598,262","1,496,341"
2023/1/24,"627,978","2,373,235","4,186,912","3,689,130","3,058,752","1,662,391","4,144,375","3,978,389","6,443,448","3,309,180","2,097,219","3,957,929","1,465,078","809,246","1,453,315"
2023/1/25,"598,451","2,263,422","4,148,486","3,609,980","2,646,092","1,599,428","4,531,225","3,437,902","6,751,729","3,065,857","2,024,511","3,681,970","1,669,991","797,541","1,528,263"
2023/1/26,"569,787","2,084,216","3,618,858","3,576,585","2,020,985","1,383,693","4,386,227","3,073,668","6,296,326","2,819,825","1,925,271","3,476,756","1,486,450","853,184","1,325,817"
2023/1/27,"439,997","1,728,908","3,234,248","2,901,119","1,549,254","1,140,719","3,522,925","2,503,613","5,598,166","2,362,042","1,557,271","3,013,781","1,277,526","716,172","1,198,756"
2023/1/28,"368,905","1,269,544","2,389,728","2,328,789","1,182,166","927,654","2,755,441","1,913,591","4,440,988","1,655,529","1,032,181","2,510,614","871,021","619,676","1,014,130"
2023/1/29,"331,850","909,412","1,720,939","1,867,305","1,003,325","928,770","1,946,025","1,187,561","2,980,315","1,162,429","663,743","2,030,279","641,430","344,694","710,597"
2023/1/30,"492,807","946,695","1,425,190","1,412,297","748,462","552,226","1,607,379","1,189,390","2,621,855","940,866","485,276","1,286,819","429,022","369,531","620,838"
2023/1/31,"493,871","793,592","1,447,135","1,184,435","609,924","546,951","1,458,166","711,602","1,911,202","763,144","366,416","1,183,188","382,065","345,922","528,588"
2023/2/1,"289,435","632,689","907,995","1,042,887","604,988","423,368","1,323,370","714,106","1,651,389","647,568","322,006","960,808","239,768","323,838","457,984"
2023/2/2,"256,670","606,704","1,105,825","1,128,977","614,350","577,990","1,258,814","708,678","1,703,388","635,734","320,116","1,014,921","281,531","310,627","561,152"
2023/2/3,"286,438","788,911","1,101,506","1,184,093","653,836","510,005","1,355,079","793,743","1,797,347","729,840","408,525","1,017,728","362,139","322,737","466,753"
2023/2/4,"334,049","857,063","1,416,744","1,544,836","856,249","633,224","1,727,651","1,068,248","2,481,450","1,071,165","555,471","1,449,464","353,425","376,336","554,283"
2023/2/5,"330,553","923,419","1,594,342","1,774,133","1,033,087","780,623","1,774,144","1,210,818","2,817,184","1,126,242","701,682","1,803,490","430,304","341,855","608,107"
2023/2/6,"282,015","772,022","1,309,168","1,307,487","687,922","585,411","1,516,507","966,847","2,028,656","778,006","470,401","1,214,210","390,240","322,379","469,783"
2023/2/7,"315,559","668,200","1,125,222","1,103,590","716,907","530,199","1,406,591","756,709","1,734,758","764,742","416,835","1,182,530","327,695","321,619","447,221"
2023/2/8,"298,492","686,130","1,109,798","1,129,471","748,070","505,345","1,354,890","759,558","1,756,511","711,094","442,216","1,055,947","307,696","338,147","445,976"
2023/2/9,"290,741","676,610","1,164,224","1,132,247","662,298","533,418","1,329,402","772,678","1,736,960","713,673","363,537","1,044,715","293,232","306,919","466,859"
2023/2/10,"337,473","807,105","1,287,221","1,336,656","876,770","572,506","1,658,858","1,030,416","2,247,263","849,380","487,395","1,119,996","302,254","341,920","556,639"
2023/2/11,"477,297","1,282,001","1,819,346","2,053,572","1,074,131","862,292","2,446,624","1,628,979","3,377,742","1,481,194","841,314","1,924,212","498,840","378,913","869,058"
2023/2/12,"449,721","1,475,702","1,915,955","2,099,218","1,129,253","845,303","2,873,245","1,849,012","3,670,636","1,595,488","1,007,878","2,253,327","496,692","511,728","851,790"
2023/2/13,"273,979","587,448","1,171,559","983,706","525,327","568,487","1,154,659","759,450","1,861,966","628,485","328,950","1,084,490","398,401","272,170","357,061"
2023/2/14,"276,842","581,650","913,230","906,267","544,035","497,906","935,422","640,726","1,237,070","597,199","307,266","770,966","211,113","240,853","277,809"
2023/2/15,"238,025","526,349","854,345","889,387","553,442","459,315","957,664","586,633","1,183,948","586,617","259,223","770,898","207,970","228,611","321,219"
2023/2/16,"309,041","547,761","902,450","972,661","567,609","490,962","970,729","590,534","1,177,101","527,354","245,421","716,321","207,461","251,888","338,976"
2023/2/17,"283,833","606,112","1,069,252","1,113,371","644,374","451,335","1,153,447","701,222","1,507,096","658,667","323,150","786,176","204,509","283,618","365,860"
2023/2/18,"338,785","841,999","1,339,365","1,422,109","777,086","628,094","1,570,375","977,855","2,233,925","935,880","469,202","1,270,518","312,179","338,089","423,316"
2023/2/19,"379,670","1,063,359","1,494,437","1,730,144","953,057","745,792","2,039,775","1,212,493","2,653,752","1,207,102","703,314","1,925,065","393,663","363,964","530,316"
2023/2/20,"268,809","611,220","1,163,268","1,051,557","549,418","675,990","1,119,351","775,120","1,440,583","568,516","295,870","895,193","294,020","258,941","304,199"
2023/2/21,"269,570","538,747","877,107","1,002,550","689,335","514,323","911,136","524,928","1,090,697","553,859","396,154","739,954","213,009","373,094","300,726"
2023/2/22,"288,094","507,340","863,582","831,884","599,338","454,660","1,011,022","573,468","1,134,279","503,976","263,246","749,613","216,443","280,928","612,977"
2023/2/23,"373,535","597,805","954,260","908,605","535,147","695,881","979,450","649,884","1,143,419","829,616","237,632","668,796","189,752","600,451","327,914"
2023/2/24,"352,497","754,590","1,368,508","1,424,038","812,923","548,423","1,493,549","978,539","2,051,406","832,763","448,397","1,022,827","253,544","404,847","589,274"
2023/2/25,"382,989","1,371,072","2,588,906","2,515,911","1,324,922","1,003,249","2,850,930","2,260,020","4,489,168","2,214,500","1,315,143","2,511,298","748,986","394,970","974,183"
2023/2/26,"447,998","1,745,342","2,584,431","2,738,429","1,502,377","1,120,053","3,161,643","2,285,122","4,326,688","2,115,644","1,414,263","2,809,940","783,291","500,500","1,052,148"
2023/2/27,"467,292","1,809,265","2,650,483","2,698,370","1,557,314","1,035,647","3,614,350","2,623,691","4,874,896","2,196,540","1,487,996","2,984,694","865,301","642,981","1,090,654"
2023/2/28,"465,908","1,161,415","2,458,509","2,110,112","1,129,547","997,767","2,692,742","1,680,014","3,840,949","1,513,274","772,916","2,412,874","837,640","406,985","752,104"
2023/3/1,"281,629","456,555","707,079","839,064","716,994","334,181","946,188","608,481","1,124,598","505,456","288,562","612,067","102,523","278,519","349,040"
2023/3/2,"266,110","294,257","833,358","804,314","476,414","431,361","937,971","551,681","978,154","610,356","238,088","575,127","202,805","239,609","311,749"
2023/3/3,"307,396","350,084","924,245","1,041,061","627,146","447,437","1,097,135","711,704","1,395,676","573,142","350,272","778,996","189,867","254,120","394,708"
2023/3/4,"360,237","562,835","1,543,413","1,564,712","829,141","629,791","1,758,672","1,160,923","2,523,212","1,066,502","605,190","1,548,058","321,668","311,028","548,780"
2023/3/5,"354,626","691,136","1,495,830","1,622,782","889,416","663,859","2,031,443","1,248,571","2,910,044","1,235,895","742,805","1,837,335","358,982","387,356","541,219"
2023/3/6,"271,587","332,788","1,009,284","897,264","510,563","493,853","992,957","698,517","1,342,339","562,542","300,429","879,824","316,349","270,160","390,164"
2023/3/7,"293,796","316,911","820,561","788,499","481,286","447,717","909,242","510,082","1,075,772","536,357","269,077","648,661","199,173","258,833","367,145"
2023/3/8,"263,761","377,888","924,679","789,735","493,504","456,791","928,419","548,950","1,111,366","520,947","231,127","708,384","202,180","257,089","315,130"
2023/3/9,"268,965","339,737","934,350","909,836","536,070","441,755","993,448","592,760","1,082,690","569,824","249,469","824,724","189,969","262,203","350,079"
2023/3/10,"352,513","443,060","1,136,804","1,397,286","714,112","599,126","1,346,689","890,650","1,683,502","803,537","360,901","1,027,556","240,425","297,402","506,539"
