date,year,month,day,rest stop,revenue
2023-01-01,2023,1,1,中壢,433216
2023-01-02,2023,1,2,中壢,352279
2023-01-03,2023,1,3,中壢,280454
2023-01-04,2023,1,4,中壢,305607
2023-01-05,2023,1,5,中壢,311576
2023-01-06,2023,1,6,中壢,319383
2023-01-07,2023,1,7,中壢,321778
2023-01-08,2023,1,8,中壢,369295
2023-01-09,2023,1,9,中壢,282061
2023-01-10,2023,1,10,中壢,287945
2023-01-11,2023,1,11,中壢,288002
2023-01-12,2023,1,12,中壢,310363
2023-01-13,2023,1,13,中壢,333811
2023-01-14,2023,1,14,中壢,401570
2023-01-15,2023,1,15,中壢,378241
2023-01-16,2023,1,16,中壢,329508
2023-01-17,2023,1,17,中壢,336892
2023-01-18,2023,1,18,中壢,427376
2023-01-19,2023,1,19,中壢,357423
2023-01-20,2023,1,20,中壢,395062
2023-01-21,2023,1,21,中壢,303433
2023-01-22,2023,1,22,中壢,567521
2023-01-23,2023,1,23,中壢,525869
2023-01-24,2023,1,24,中壢,627978
2023-01-25,2023,1,25,中壢,598451
2023-01-26,2023,1,26,中壢,569787
2023-01-27,2023,1,27,中壢,439997
2023-01-28,2023,1,28,中壢,368905
2023-01-29,2023,1,29,中壢,331850
2023-01-30,2023,1,30,中壢,492807
2023-01-31,2023,1,31,中壢,493871
2023-02-01,2023,2,1,中壢,289435
2023-02-02,2023,2,2,中壢,256670
2023-02-03,2023,2,3,中壢,286438
2023-02-04,2023,2,4,中壢,334049
2023-02-05,2023,2,5,中壢,330553
2023-02-06,2023,2,6,中壢,282015
2023-02-07,2023,2,7,中壢,315559
2023-02-08,2023,2,8,中壢,298492
2023-02-09,2023,2,9,中壢,290741
2023-02-10,2023,2,10,中壢,337473
2023-02-11,2023,2,11,中壢,477297
2023-02-12,2023,2,12,中壢,449721
2023-02-13,2023,2,13,中壢,273979
2023-02-14,2023,2,14,中壢,276842
2023-02-15,2023,2,15,中壢,238025
2023-02-16,2023,2,16,中壢,309041
2023-02-17,2023,2,17,中壢,283833
2023-02-18,2023,2,18,中壢,338785
2023-02-19,2023,2,19,中壢,379670
2023-02-20,2023,2,20,中壢,268809
2023-02-21,2023,2,21,中壢,269570
2023-02-22,2023,2,22,中壢,288094
2023-02-23,2023,2,23,中壢,373535
2023-02-24,2023,2,24,中壢,352497
2023-02-25,2023,2,25,中壢,382989
2023-02-26,2023,2,26,中壢,447998
2023-02-27,2023,2,27,中壢,467292
2023-02-28,2023,2,28,中壢,465908
2023-03-01,2023,3,1,中壢,281629
2023-03-02,2023,3,2,中壢,266110
2023-03-03,2023,3,3,中壢,307396
2023-03-04,2023,3,4,中壢,360237
2023-03-05,2023,3,5,中壢,354626
2023-03-06,2023,3,6,中壢,271587
2023-03-07,2023,3,7,中壢,293796
2023-03-08,2023,3,8,中壢,263761
2023-03-09,2023,3,9,中壢,268965
2023-03-10,2023,3,10,中壢,352513
2023-03-11,2023,3,11,中壢,386295
2023-03-12,2023,3,12,中壢,387981
2023-03-13,2023,3,13,中壢,258402
2023-03-14,2023,3,14,中壢,289003
2023-03-15,2023,3,15,中壢,312805
2023-03-16,2023,3,16,中壢,274024
2023-03-17,2023,3,17,中壢,325668
2023-03-18,2023,3,18,中壢,395809
2023-03-19,2023,3,19,中壢,421398
2023-03-20,2023,3,20,中壢,272231
2023-03-21,2023,3,21,中壢,278785
2023-03-22,2023,3,22,中壢,256698
2023-03-23,2023,3,23,中壢,268411
2023-03-24,2023,3,24,中壢,317370
2023-03-25,2023,3,25,中壢,331964
2023-03-26,2023,3,26,中壢,394892
2023-03-27,2023,3,27,中壢,427133
2023-03-28,2023,3,28,中壢,269297
2023-03-29,2023,3,29,中壢,274398
2023-03-30,2023,3,30,中壢,266273
2023-03-31,2023,3,31,中壢,452194
2023-04-01,2023,4,1,中壢,386900
2023-04-02,2023,4,2,中壢,468940
2023-04-03,2023,4,3,中壢,474344
2023-04-04,2023,4,4,中壢,404026
2023-04-05,2023,4,5,中壢,332735
2023-04-06,2023,4,6,中壢,253100
2023-04-07,2023,4,7,中壢,284169
2023-04-08,2023,4,8,中壢,309671
2023-04-09,2023,4,9,中壢,352512
2023-04-10,2023,4,10,中壢,246190
2023-04-11,2023,4,11,中壢,310357
2023-04-12,2023,4,12,中壢,284330
2023-04-13,2023,4,13,中壢,311189
2023-04-14,2023,4,14,中壢,310817
2023-04-15,2023,4,15,中壢,381905
2023-04-16,2023,4,16,中壢,333938
2023-04-17,2023,4,17,中壢,295147
2023-04-18,2023,4,18,中壢,272595
